AGC,RAJ2000,DEJ2000,Dist,e_Dist,Vc,e_Vc,HIflux,e_HIflux,W85,e_W85,Af,e_Af,Ac,e_Ac,Cv,e_Cv,K,e_K,S/N,sigma,logMHI,e_logMHI,Notes,SDSS,SimbadName,LEDA
171697,115.77333,25.17194,201.0,2.2,13867,14,0.95,0.18,162,27,1.46,0.26,1.0,0.33,3.89,0.7,-0.014,0.042,4.2,4.5,9.96,0.08,2,*,AGC 171697,LEDA
171709,116.06375,24.17111,187.5,2.3,12863,8,1.55,0.24,366,27,1.04,0.1,1.0,0.15,6.63,0.7,0.074,0.017,11.3,1.9,10.11,0.07,2,,AGC 171709,LEDA
171716,116.19208,25.77528,120.1,2.3,8205,7,0.58,0.1,109,15,1.26,0.2,1.06,0.35,4.7,0.7,0.116,0.038,7.7,1.9,9.3,0.08,2,,AGC 171716,LEDA
171720,116.24083,29.55722,65.5,2.4,4555,8,0.82,0.14,117,17,1.4,0.19,2.0,0.51,4.24,0.7,0.086,0.044,9.4,2.1,8.92,0.08,1,*,AGC 171720,LEDA
171726,116.29542,29.19806,116.9,2.3,8006,6,0.53,0.09,50,8,1.1,0.16,1.37,0.32,3.87,0.64,0.02,0.039,6.6,2.6,9.24,0.08,2,*,AGC 171726,LEDA
171729,116.31208,29.24944,170.3,2.3,11757,15,0.75,0.14,177,30,1.01,0.32,1.37,0.43,3.72,0.7,-0.015,0.055,5.2,2.5,9.71,0.08,2,*,AGC 171729,LEDA
171731,116.35667,23.98972,188.8,2.3,13037,12,1.81,0.32,324,53,1.0,0.14,1.41,0.33,3.48,0.54,-0.015,0.037,7.8,3.6,10.18,0.08,2,*,AGC 171731,LEDA
171738,116.41208,26.22472,118.3,2.2,8096,5,3.63,0.57,292,19,1.1,0.08,1.14,0.13,3.06,0.23,-0.039,0.016,24.8,2.4,10.08,0.07,1,,AGC 171738,LEDA
171750,116.52625,29.21083,100.3,2.3,6879,11,0.98,0.17,245,34,1.01,0.17,1.32,0.36,4.41,0.7,0.081,0.04,6.7,2.4,9.37,0.08,2,*,AGC 171750,LEDA
171758,116.56583,24.09806,188.8,2.3,13007,5,2.05,0.32,293,19,1.03,0.09,1.37,0.17,2.67,0.24,-0.029,0.017,14.9,2.2,10.24,0.07,1,,AGC 171758,LEDA
171778,116.66042,26.47028,66.7,2.3,4604,4,2.15,0.34,119,7,1.0,0.07,1.0,0.1,3.18,0.23,-0.006,0.016,24.4,1.9,9.35,0.07,1,*,AGC 171778,LEDA
171782,116.67833,26.35528,104.3,2.4,7124,3,1.59,0.25,60,4,1.02,0.08,1.03,0.11,3.62,0.27,0.029,0.016,20.0,2.2,9.61,0.07,1,*,AGC 171782,LEDA
171790,116.75958,26.77639,103.6,2.4,7057,8,1.09,0.17,196,15,1.04,0.09,1.09,0.15,2.39,0.24,-0.06,0.025,10.1,1.9,9.44,0.07,1,*,AGC 171790,LEDA
171799,116.825,30.99111,54.8,2.3,3794,3,4.47,0.71,88,6,1.05,0.09,1.02,0.12,4.79,0.35,0.098,0.018,51.7,1.8,9.5,0.08,1,*,AGC 171799,LEDA
171801,116.8425,31.04028,174.2,2.2,12014,11,0.98,0.18,242,34,1.26,0.34,1.24,0.67,3.89,0.7,0.052,0.034,7.7,2.1,9.85,0.08,2,*,AGC 171801,LEDA
171807,116.90542,26.94056,119.1,2.3,8146,7,0.71,0.13,104,14,1.11,0.17,1.53,0.35,3.04,0.47,-0.047,0.041,9.8,1.9,9.38,0.08,1,*,AGC 171807,LEDA
171816,116.97958,27.03889,117.7,2.4,8048,7,0.97,0.15,156,14,1.05,0.1,1.0,0.13,3.4,0.29,-0.01,0.018,10.1,1.9,9.5,0.07,1,*,AGC 171816,LEDA
171822,117.16458,31.74306,242.3,2.3,16807,11,0.61,0.12,114,19,1.35,0.41,1.08,0.47,5.76,0.7,0.067,0.037,4.7,2.7,9.93,0.09,2,*,AGC 171822,LEDA
171838,117.30167,24.98583,70.2,2.3,4843,4,1.37,0.21,16,5,1.37,0.21,1.07,0.19,4.51,0.37,0.077,0.018,12.6,3.5,9.2,0.07,1,*,AGC 171838,LEDA
171855,117.44208,29.68,236.2,2.2,16331,6,1.63,0.25,247,17,1.07,0.14,1.05,0.23,5.51,0.7,0.116,0.019,13.4,2.1,10.33,0.07,1,*,AGC 171855,LEDA
171860,117.48333,26.03694,70.8,2.2,4888,7,1.4,0.25,57,8,1.18,0.39,1.0,0.0,5.9,0.7,0.144,0.045,9.1,4.3,9.22,0.08,1,*,AGC 171860,LEDA
171863,117.50708,29.17389,118.4,2.3,8112,7,0.76,0.13,77,12,1.12,0.19,1.03,0.27,4.34,0.69,0.061,0.033,8.6,2.4,9.4,0.08,1,,AGC 171863,LEDA
171868,117.53417,31.97611,230.6,2.3,15964,10,1.41,0.25,207,27,1.18,0.25,1.0,0.45,5.17,0.7,0.095,0.041,8.8,2.8,10.25,0.08,1,*,AGC 171868,LEDA
171869,117.53875,30.78194,70.5,2.2,4895,6,1.1,0.17,100,9,1.0,0.14,1.04,0.17,4.87,0.43,0.072,0.02,13.2,1.9,9.11,0.07,1,*,AGC 171869,LEDA
171883,117.6875,27.08556,162.7,2.4,11207,4,1.6,0.25,208,15,1.09,0.08,1.06,0.13,3.31,0.28,0.013,0.017,17.2,1.7,10.0,0.07,1,*,AGC 171883,LEDA
171884,117.68792,27.37778,175.9,2.4,12161,12,0.92,0.16,222,28,1.0,0.13,1.35,0.31,2.42,0.45,-0.03,0.033,7.7,2.0,9.83,0.08,2,*,AGC 171884,LEDA
171891,117.70625,27.70667,68.0,2.3,4697,4,1.02,0.16,84,6,1.02,0.14,1.06,0.15,5.7,0.69,0.098,0.018,14.6,1.8,9.05,0.07,1,,AGC 171891,LEDA
171917,117.84417,27.54056,94.9,2.3,6489,12,1.15,0.21,409,55,1.0,0.13,1.0,0.22,3.21,0.54,-0.041,0.035,7.6,2.0,9.39,0.08,2,*,AGC 171917,LEDA
171931,117.94458,26.26778,220.8,2.3,15233,5,1.15,0.18,200,14,1.39,0.11,1.53,0.18,3.44,0.43,0.022,0.021,12.2,1.6,10.12,0.07,1,,AGC 171931,LEDA
171937,117.95958,24.94861,93.9,2.2,6371,7,0.69,0.12,101,14,1.09,0.16,1.18,0.28,3.52,0.53,-0.017,0.035,6.9,2.5,9.15,0.08,2,*,AGC 171937,LEDA
171963,118.09,24.33861,216.7,2.2,14983,15,1.38,0.24,288,36,1.0,0.15,1.19,0.29,3.16,0.5,0.011,0.034,7.6,2.7,10.19,0.08,1,*,AGC 171963,LEDA
171984,118.17833,24.04333,217.7,2.4,15036,8,2.31,0.36,326,21,1.02,0.08,1.0,0.12,2.72,0.26,-0.054,0.016,15.3,2.1,10.41,0.07,1,*,AGC 171984,LEDA
171987,118.1875,24.295,197.8,2.3,13660,6,1.23,0.19,173,15,1.08,0.08,1.4,0.19,3.3,0.37,-0.011,0.035,11.4,2.1,10.06,0.07,1,*,AGC 171987,LEDA
172000,118.23542,24.13472,217.3,2.2,15034,5,1.42,0.22,185,12,1.05,0.09,1.65,0.26,2.49,0.2,-0.075,0.02,14.2,1.9,10.2,0.07,1,*,AGC 172000,LEDA
172020,118.38375,27.74278,94.5,2.5,6438,8,0.56,0.1,133,17,1.0,0.14,1.3,0.34,2.81,0.62,-0.028,0.042,7.9,1.7,9.07,0.08,2,*,AGC 172020,LEDA
172026,118.41167,25.65778,107.1,2.3,7326,11,0.69,0.12,187,29,1.0,0.13,1.36,0.43,2.2,0.7,-0.074,0.036,7.0,1.7,9.27,0.08,2,*,AGC 172026,LEDA
172031,118.45958,26.99111,68.6,2.2,4743,8,1.23,0.22,215,29,1.0,0.15,1.17,0.32,4.68,0.7,0.086,0.032,9.9,2.3,9.14,0.08,1,,AGC 172031,LEDA
172034,118.48083,31.34194,121.6,2.2,8357,11,1.09,0.19,206,25,1.12,0.15,1.08,0.24,3.17,0.47,0.002,0.031,9.7,2.1,9.58,0.08,2,*,AGC 172034,LEDA
172039,118.505,29.42056,157.3,2.3,10811,12,0.96,0.17,197,32,1.0,0.19,1.1,0.72,3.01,0.59,0.015,0.043,7.3,2.3,9.75,0.08,2,*,AGC 172039,LEDA
172043,118.51458,29.79583,61.9,2.4,4283,4,2.58,0.41,97,7,1.15,0.08,1.13,0.13,2.85,0.23,-0.037,0.02,28.4,2.1,9.37,0.08,1,*,AGC 172043,LEDA
172048,118.5425,26.18361,67.7,2.2,4671,7,0.41,0.07,69,11,1.0,0.14,1.0,0.27,2.43,0.48,-0.094,0.05,5.9,2.0,8.65,0.08,2,,AGC 172048,LEDA
172061,118.61375,28.12472,99.3,2.1,6774,6,1.42,0.23,167,13,1.05,0.09,1.05,0.12,3.41,0.3,-0.008,0.019,11.8,2.4,9.52,0.07,1,*,AGC 172061,LEDA
172062,118.62583,26.91528,100.9,2.3,6849,12,0.54,0.09,215,33,1.43,0.39,2.36,0.76,4.52,0.7,0.094,0.039,5.0,1.8,9.11,0.08,2,,AGC 172062,LEDA
172071,118.67542,26.64278,68.1,2.3,4691,9,0.93,0.16,91,14,1.4,0.27,1.36,0.41,3.47,0.65,0.036,0.04,9.7,2.1,9.01,0.08,1,,AGC 172071,LEDA
172073,118.69417,24.74889,67.6,2.3,4647,4,1.68,0.26,113,10,1.27,0.1,1.64,0.21,2.86,0.5,-0.047,0.034,13.9,2.9,9.26,0.07,1,*,AGC 172073,LEDA
172081,118.79417,28.69944,71.7,2.3,4967,8,0.98,0.18,170,20,1.14,0.17,1.12,0.28,2.91,0.46,-0.052,0.033,7.7,2.5,9.07,0.09,1,*,AGC 172081,LEDA
172083,118.79917,26.52611,68.3,2.2,4731,8,1.05,0.16,191,18,1.0,0.09,1.09,0.15,4.49,0.39,0.052,0.027,10.5,1.8,9.06,0.07,1,*,AGC 172083,LEDA
172086,118.84,26.83778,68.5,2.3,4734,5,0.99,0.15,111,8,1.0,0.1,1.14,0.14,4.45,0.61,0.025,0.021,10.0,2.3,9.04,0.07,1,*,AGC 172086,LEDA
172087,118.8425,29.15194,95.4,2.3,6470,8,0.99,0.18,124,16,1.15,0.17,1.03,0.24,3.76,0.59,0.032,0.034,9.7,2.4,9.33,0.08,"1,p",,AGC 172087,LEDA
172089,118.84583,27.075,66.2,2.4,4570,5,1.01,0.16,97,12,1.32,0.16,1.3,0.2,2.78,0.7,-0.031,0.045,10.5,2.1,9.02,0.07,1,,AGC 172089,LEDA
172091,118.85292,26.98639,66.3,2.2,4566,5,1.73,0.27,115,9,1.05,0.09,1.0,0.13,3.18,0.36,0.004,0.019,14.6,2.6,9.25,0.07,1,,AGC 172091,LEDA
172101,118.94292,31.31833,211.2,2.4,14619,10,0.71,0.13,159,27,1.14,0.19,1.31,0.41,3.23,0.56,-0.052,0.041,5.6,2.4,9.87,0.08,2,*,AGC 172101,LEDA
172105,118.99833,29.83194,72.5,2.3,5038,4,0.97,0.15,188,14,1.0,0.08,1.0,0.12,3.06,0.32,0.007,0.024,11.8,1.7,9.08,0.07,1,,AGC 172105,LEDA
172109,119.03417,28.55944,71.3,2.4,4937,20,0.6,0.17,121,38,1.74,0.99,1.07,1.0,2.13,0.62,-0.076,0.057,5.6,2.1,8.86,0.13,2,*,AGC 172109,LEDA
172110,119.03875,27.11278,151.9,2.3,10441,8,0.55,0.1,70,13,1.13,0.25,1.1,0.41,3.72,0.62,0.051,0.035,7.5,1.8,9.48,0.08,1,,AGC 172110,LEDA
172111,119.03917,27.42833,116.9,2.3,7984,4,3.65,0.58,231,14,1.0,0.07,1.01,0.11,3.27,0.26,-0.007,0.016,25.6,2.4,10.07,0.07,1,,AGC 172111,LEDA
172115,119.10333,30.0725,115.1,2.2,7869,8,1.08,0.19,134,18,1.0,0.24,1.56,0.39,3.73,0.55,0.032,0.032,9.0,2.4,9.53,0.08,1,*,AGC 172115,LEDA
172118,119.11042,27.23556,158.4,2.4,10833,21,1.08,0.19,329,54,1.07,0.23,1.23,0.37,2.8,0.47,0.031,0.034,6.7,2.1,9.81,0.08,2,,AGC 172118,LEDA
172119,119.11375,24.50194,116.8,2.3,8110,12,1.5,0.27,422,52,1.25,0.17,1.8,0.4,2.72,0.58,-0.024,0.039,9.3,2.4,9.69,0.08,2,*,AGC 172119,LEDA
172122,119.12458,23.94917,236.1,2.3,16371,10,2.18,0.34,474,34,1.18,0.11,2.03,0.3,4.98,0.43,0.042,0.022,11.9,2.4,10.46,0.07,2,,AGC 172122,LEDA
172136,119.18792,27.20222,116.6,2.4,7907,17,0.89,0.16,254,35,1.41,0.26,1.76,0.59,6.24,0.7,0.125,0.04,6.0,2.3,9.45,0.08,2,*,AGC 172136,LEDA
172142,119.21042,28.37583,95.5,2.3,6501,8,2.36,0.37,329,22,1.06,0.08,1.11,0.14,2.66,0.22,-0.067,0.018,18.7,1.9,9.71,0.07,1,*,AGC 172142,LEDA
172143,119.2125,28.27806,203.7,2.1,14071,7,0.76,0.14,96,15,1.09,0.26,1.01,0.52,4.25,0.7,0.079,0.035,6.5,2.8,9.87,0.08,1,*,AGC 172143,LEDA
172150,119.24917,27.755,71.7,2.3,4968,5,1.57,0.24,153,11,1.17,0.1,1.34,0.15,3.2,0.24,-0.003,0.016,16.7,1.8,9.28,0.07,1,,AGC 172150,LEDA
172163,119.35875,26.65,180.1,2.3,12421,9,0.86,0.15,144,21,1.05,0.19,1.0,0.33,3.32,0.56,0.026,0.034,8.9,1.9,9.82,0.08,1,*,AGC 172163,LEDA
172185,119.46417,28.93972,61.1,2.0,4218,4,1.34,0.21,91,7,1.0,0.09,1.11,0.13,3.39,0.29,0.002,0.019,12.7,2.3,9.07,0.07,1,,AGC 172185,LEDA
172186,119.48292,30.0275,221.2,2.2,15306,7,1.19,0.21,117,17,1.11,0.15,1.38,0.32,3.14,0.46,0.0,0.032,9.5,2.7,10.14,0.08,1,*,AGC 172186,LEDA
172190,119.52792,27.41111,113.7,2.1,7680,17,1.27,0.23,380,46,1.25,0.24,2.0,0.52,7.34,0.7,0.108,0.039,9.9,1.9,9.59,0.08,2,*,AGC 172190,LEDA
172192,119.53292,27.63528,98.9,2.3,6740,14,1.19,0.21,246,35,1.16,0.22,1.77,0.49,4.32,0.67,0.085,0.043,9.5,2.0,9.44,0.08,1,*,AGC 172192,LEDA
172204,119.60708,28.70361,61.8,2.4,4276,12,1.15,0.2,300,39,1.3,0.26,1.84,0.63,4.28,0.7,0.072,0.035,7.3,2.5,9.02,0.08,2,*,AGC 172204,LEDA
172205,119.60917,27.16167,204.0,2.3,14099,5,1.56,0.24,209,14,1.0,0.08,1.23,0.15,2.78,0.25,-0.04,0.018,11.9,2.2,10.19,0.07,1,*,AGC 172205,LEDA
172211,119.66667,29.71028,220.3,2.2,15249,12,1.11,0.19,244,30,1.22,0.19,2.33,0.67,2.51,0.44,-0.043,0.048,6.6,2.9,10.1,0.08,"2,r",*,AGC 172211,LEDA
172212,119.66667,29.17,159.9,2.2,10996,10,1.01,0.18,257,41,1.31,0.18,1.0,0.24,2.97,0.56,-0.047,0.048,5.8,2.7,9.78,0.08,1,*,AGC 172212,LEDA
172218,119.70875,25.74639,184.7,2.3,12727,5,1.77,0.28,185,16,1.34,0.19,1.2,0.27,4.87,0.4,0.104,0.017,15.4,2.0,10.15,0.07,1,,AGC 172218,LEDA
172220,119.71125,25.47333,116.2,2.2,7941,8,0.82,0.14,158,21,1.0,0.13,1.16,0.28,2.78,0.46,-0.023,0.034,8.6,2.0,9.41,0.08,2,,AGC 172220,LEDA
172226,119.7425,28.0075,200.9,2.2,13869,10,0.79,0.14,124,21,1.0,0.15,1.48,0.45,4.45,0.7,0.046,0.034,7.4,2.3,9.88,0.08,2,*,AGC 172226,LEDA
172227,119.74333,25.33222,184.6,2.2,12696,12,0.84,0.15,138,19,1.48,0.43,1.27,0.5,9.32,0.7,0.186,0.043,4.9,3.3,9.83,0.08,2,,AGC 172227,LEDA
172231,119.75208,27.93111,112.4,2.4,7685,11,0.93,0.17,193,27,1.28,0.18,1.17,0.3,3.28,0.67,-0.001,0.031,8.5,2.0,9.44,0.08,2,*,AGC 172231,LEDA
172234,119.7775,25.42667,114.5,2.2,7842,6,1.12,0.17,261,24,1.0,0.13,1.13,0.27,5.44,0.52,0.125,0.022,10.3,1.9,9.54,0.07,1,,AGC 172234,LEDA
172236,119.77833,25.3425,115.8,2.2,7890,8,1.48,0.23,236,30,1.18,0.11,1.38,0.18,3.29,0.38,0.034,0.042,10.4,2.4,9.67,0.07,1,,AGC 172236,LEDA
172237,119.78042,25.72917,182.7,2.2,12609,10,1.36,0.25,344,45,1.13,0.21,1.0,0.3,7.49,0.7,0.113,0.032,8.9,2.1,10.03,0.08,1,,AGC 172237,LEDA
172244,119.81583,28.42194,198.9,2.3,13719,13,0.67,0.14,141,21,1.26,0.3,1.0,0.33,2.96,0.6,-0.013,0.037,5.0,2.6,9.8,0.09,2,*,AGC 172244,LEDA
172251,119.88458,27.94194,97.2,2.2,6493,14,1.08,0.2,365,51,1.16,0.22,1.4,0.48,2.66,0.52,-0.052,0.041,7.6,2.0,9.38,0.08,2,*,AGC 172251,LEDA
172252,119.88875,30.69972,196.5,2.2,13567,8,0.93,0.16,204,31,1.32,0.2,1.37,0.31,2.72,0.48,-0.069,0.036,7.4,2.3,9.93,0.08,2,*,AGC 172252,LEDA
172254,119.90333,28.86389,197.9,2.3,13672,4,0.82,0.13,111,9,1.12,0.09,1.3,0.19,3.16,0.31,0.003,0.024,10.3,1.9,9.88,0.07,1,*,AGC 172254,LEDA
172256,119.91292,30.88056,204.6,2.4,14145,9,1.0,0.18,137,20,1.22,0.21,2.12,0.52,5.46,0.7,0.059,0.037,10.0,2.0,10.0,0.08,1,*,AGC 172256,LEDA
172263,119.93208,28.35611,158.0,2.0,10864,8,0.72,0.13,100,24,1.01,0.26,1.01,0.31,3.31,0.58,-0.012,0.034,7.4,2.2,9.63,0.08,1,*,AGC 172263,LEDA
172267,119.945,31.48306,194.6,2.2,13459,9,1.62,0.26,301,31,1.26,0.11,1.03,0.14,2.63,0.32,-0.033,0.032,10.4,2.3,10.16,0.07,1,*,AGC 172267,LEDA
172372,116.5875,17.71833,200.9,2.3,13851,14,0.91,0.16,220,33,1.01,0.3,1.05,0.4,5.49,0.7,0.069,0.034,7.1,2.2,9.94,0.08,2,*,AGC 172372,LEDA
172464,116.97625,18.10972,194.0,2.1,13375,7,3.12,0.49,276,22,1.0,0.08,1.02,0.12,2.43,0.2,-0.058,0.02,13.2,3.8,10.44,0.07,1,*,AGC 172464,LEDA
172528,117.19542,16.64639,217.9,2.2,15034,8,0.59,0.11,117,18,1.61,0.27,3.04,0.76,4.09,0.7,0.048,0.048,6.0,2.3,9.82,0.08,2,*,AGC 172528,LEDA
172549,117.27917,16.25194,137.9,2.3,9462,10,1.03,0.18,189,30,1.06,0.17,1.49,0.4,3.48,0.58,-0.014,0.035,8.1,2.4,9.67,0.08,1,*,AGC 172549,LEDA
172586,117.43167,17.39722,202.2,2.2,13929,13,0.89,0.16,169,26,1.13,0.17,1.48,0.4,4.11,0.7,0.031,0.043,7.1,2.4,9.93,0.08,2,*,AGC 172586,LEDA
172598,117.485,16.0975,177.4,2.2,12202,10,0.52,0.1,101,32,1.06,0.27,2.12,0.69,4.06,0.7,0.029,0.063,3.8,2.8,9.58,0.09,2,*,AGC 172598,LEDA
172601,117.51708,16.3625,71.6,2.3,4883,4,1.55,0.24,197,18,1.05,0.08,1.09,0.12,3.49,0.32,0.043,0.02,16.3,1.9,9.27,0.07,1,*,AGC 172601,LEDA
172624,117.75583,16.38694,202.4,2.2,13968,7,1.24,0.2,155,10,1.02,0.09,1.17,0.14,3.24,0.43,0.005,0.019,10.9,2.4,10.08,0.07,1,*,AGC 172624,LEDA
172644,117.8525,16.3075,232.5,2.3,16058,8,0.57,0.1,54,10,1.2,0.27,1.0,0.24,3.13,0.7,0.001,0.035,5.0,3.0,9.86,0.07,2,*,AGC 172644,LEDA
172651,117.89417,16.62139,96.9,2.3,6599,5,2.45,0.38,239,15,1.45,0.11,2.24,0.25,3.14,0.27,-0.011,0.022,19.4,2.2,9.73,0.07,1,*,AGC 172651,LEDA
172662,117.99208,16.74917,202.0,2.3,13965,10,1.51,0.27,386,46,1.1,0.14,1.93,0.53,3.56,0.56,0.028,0.035,9.8,2.9,10.16,0.08,1,*,AGC 172662,LEDA
172671,118.03458,17.93028,98.2,2.2,6672,6,1.15,0.18,153,11,1.15,0.11,1.05,0.13,3.22,0.26,-0.024,0.018,11.2,2.1,9.42,0.07,1,*,AGC 172671,LEDA
172693,118.21375,17.56,69.4,2.3,4759,7,0.71,0.12,74,12,1.35,0.24,1.6,0.47,5.35,0.7,0.095,0.033,7.5,2.5,8.91,0.08,1,*,AGC 172693,LEDA
172696,118.25833,16.69111,72.9,2.4,4992,4,2.17,0.34,164,11,1.03,0.08,1.01,0.11,3.47,0.26,0.022,0.016,20.2,1.9,9.44,0.07,1,*,AGC 172696,LEDA
172697,118.26,16.89306,197.9,2.4,13550,13,1.58,0.28,323,41,1.23,0.22,2.53,0.63,3.33,0.48,-0.006,0.033,9.8,2.3,10.16,0.08,1,*,AGC 172697,LEDA
172700,118.29792,16.60361,235.1,2.3,16244,10,0.92,0.17,108,19,1.0,0.18,1.09,0.32,2.49,0.58,-0.061,0.051,6.3,3.1,10.08,0.08,1,*,AGC 172700,LEDA
172706,118.32167,17.48361,178.4,2.2,12281,12,1.27,0.22,232,30,1.5,0.25,1.23,0.33,4.22,0.66,0.049,0.034,9.6,2.2,9.98,0.08,1,*,AGC 172706,LEDA
172710,118.37167,17.53694,180.3,2.3,12332,14,1.33,0.23,383,51,1.09,0.19,1.45,0.45,5.1,0.7,0.104,0.034,9.1,1.9,10.01,0.08,2,*,AGC 172710,LEDA
172737,118.62208,16.15111,70.7,2.2,4796,6,1.64,0.26,172,14,1.29,0.12,1.53,0.18,5.05,0.51,0.081,0.02,15.1,2.1,9.29,0.07,1,,AGC 172737,LEDA
172738,118.6225,17.70111,179.2,2.2,12317,7,0.97,0.17,106,15,1.0,0.13,1.15,0.28,3.19,0.48,0.0,0.031,8.7,2.4,9.87,0.08,1,*,AGC 172738,LEDA
172757,118.86125,17.06028,73.2,2.4,5009,3,3.33,0.53,199,12,1.05,0.08,1.22,0.13,2.89,0.22,-0.053,0.016,30.2,2.1,9.62,0.07,1,*,AGC 172757,LEDA
172775,119.03625,17.36556,124.6,2.4,8527,9,1.29,0.23,193,24,1.0,0.28,1.02,0.35,5.5,0.7,0.091,0.032,9.6,2.5,9.67,0.08,1,*,AGC 172775,LEDA
172824,119.68833,16.32,71.3,2.3,4879,7,0.59,0.11,99,12,1.48,0.21,2.28,0.66,2.94,0.7,-0.015,0.047,7.4,2.0,8.85,0.08,2,,AGC 172824,LEDA
172836,119.99958,16.05056,66.7,2.3,4551,9,0.74,0.13,122,17,1.0,0.14,1.24,0.36,3.39,0.57,0.016,0.043,6.0,2.6,8.89,0.08,1,,AGC 172836,LEDA
174477,117.84292,5.13444,76.8,2.2,5226,5,1.54,0.24,202,13,1.0,0.08,1.0,0.12,2.42,0.18,-0.074,0.017,15.6,1.9,9.33,0.07,1,,AGC 174477,LEDA
174478,113.83958,12.07583,175.8,2.3,12086,11,1.14,0.21,258,36,1.13,0.28,1.34,0.56,3.72,0.57,0.039,0.031,9.9,1.7,9.92,0.08,1,,AGC 174478,LEDA
174479,113.92292,16.12139,131.3,2.3,8994,4,1.38,0.21,161,12,1.0,0.09,1.12,0.14,3.13,0.26,0.005,0.02,13.3,2.0,9.75,0.07,"1,r",,AGC 174479,LEDA
174481,114.01,13.53806,69.8,2.2,4773,8,1.17,0.22,64,15,1.15,0.69,1.0,0.0,4.24,0.7,0.078,0.034,7.5,3.7,9.13,0.08,1,,AGC 174481,LEDA
174482,114.21208,12.92306,203.4,2.2,14024,7,1.28,0.2,166,15,1.27,0.11,1.36,0.16,2.92,0.4,0.018,0.024,10.5,2.4,10.1,0.07,1,,AGC 174482,LEDA
174483,114.225,13.78222,73.1,2.3,4992,5,1.07,0.17,123,12,1.12,0.11,1.17,0.15,5.23,0.44,0.072,0.02,10.7,2.3,9.13,0.07,1,,AGC 174483,LEDA
174484,114.25417,12.06444,72.9,2.3,4952,6,1.14,0.18,197,14,1.23,0.1,1.19,0.15,3.9,0.4,0.045,0.02,10.4,2.0,9.16,0.07,1,,AGC 174484,LEDA
174485,114.28708,12.20694,121.7,2.3,8296,7,2.63,0.41,228,17,1.41,0.12,1.61,0.19,4.13,0.44,0.041,0.017,12.4,3.7,9.96,0.07,1,,AGC 174485,LEDA
174486,114.31792,12.06139,71.4,2.3,4877,5,1.68,0.26,103,10,1.0,0.11,1.0,0.14,4.18,0.4,0.06,0.025,15.0,2.3,9.31,0.07,1,,AGC 174486,LEDA
174489,118.56167,11.92,88.0,2.3,5932,5,1.94,0.3,186,13,1.1,0.09,1.0,0.11,2.69,0.26,-0.042,0.019,14.4,2.6,9.55,0.07,1,,AGC 174489,LEDA
174491,114.38417,12.87167,202.5,2.4,13966,11,1.27,0.22,218,29,1.19,0.19,1.94,0.45,3.15,0.46,-0.003,0.031,9.6,2.3,10.09,0.08,1,,AGC 174491,LEDA
174492,114.42333,11.96028,119.9,2.4,8200,9,1.56,0.24,223,18,1.0,0.1,1.2,0.15,3.25,0.27,-0.002,0.021,11.4,2.2,9.72,0.07,1,,AGC 174492,LEDA
174493,114.47042,14.02111,70.0,2.1,4851,13,1.45,0.26,350,67,1.39,0.19,2.2,0.51,3.24,0.57,0.012,0.038,10.0,2.1,9.22,0.08,1,,AGC 174493,LEDA
174494,114.52,15.9875,74.3,2.2,5108,10,1.02,0.18,124,20,1.19,0.2,1.22,0.36,4.67,0.7,0.022,0.054,8.1,2.6,9.12,0.08,1,,AGC 174494,LEDA
174495,114.91833,12.73111,195.0,2.3,13456,6,1.47,0.23,259,21,1.1,0.09,1.35,0.17,2.59,0.29,-0.048,0.029,11.8,2.0,10.12,0.07,1,,AGC 174495,LEDA
174496,114.95625,13.88861,62.9,2.5,4273,4,1.17,0.18,107,7,1.0,0.08,1.0,0.11,3.17,0.24,-0.034,0.018,12.6,2.3,9.04,0.08,1,,AGC 174496,LEDA
174497,115.11208,13.77417,62.9,2.3,4273,4,0.65,0.1,23,3,1.0,0.22,1.0,0.17,4.33,0.34,0.064,0.018,12.5,1.9,8.79,0.07,1,,AGC 174497,LEDA
174498,115.25042,12.97444,236.6,2.3,16247,5,2.74,0.43,420,28,1.06,0.08,1.11,0.13,2.91,0.25,0.011,0.016,17.2,2.2,10.56,0.07,"1,r",,AGC 174498,LEDA
174500,115.57375,12.11028,193.8,2.2,13335,6,3.34,0.52,314,25,1.07,0.08,1.32,0.16,3.48,0.36,0.028,0.021,18.4,2.7,10.47,0.07,1,,AGC 174500,LEDA
174501,116.445,15.72861,218.2,2.3,15051,7,0.84,0.15,137,20,1.44,0.22,2.25,0.77,4.2,0.66,0.112,0.034,9.6,2.0,9.98,0.08,1,,AGC 174501,LEDA
174502,116.845,15.81583,178.2,2.5,12265,6,1.1,0.17,147,13,1.0,0.11,1.02,0.18,3.59,0.36,0.034,0.019,10.5,2.1,9.92,0.07,1,,AGC 174502,LEDA
174504,116.94708,12.18667,141.5,2.5,9678,6,3.05,0.48,319,19,1.04,0.08,1.23,0.15,2.24,0.18,-0.104,0.018,17.5,2.6,10.16,0.07,"1,r",,AGC 174504,LEDA
174505,116.995,15.42139,173.3,2.3,11930,8,1.21,0.21,228,34,1.0,0.13,1.01,0.23,3.95,0.63,-0.011,0.043,9.4,2.2,9.93,0.08,1,,AGC 174505,LEDA
174506,117.13042,14.61361,205.4,2.3,14177,5,1.06,0.17,152,16,1.02,0.1,1.57,0.21,2.02,0.31,-0.118,0.032,11.0,2.1,10.02,0.07,1,,AGC 174506,LEDA
